simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
5,Beverton-Holt,K,10000,Ricker,9621.66,9158.58,10179.4,1,-3.7834000000000017,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3699.22,9621.66
5,Beverton-Holt,Smsy,724.2648536151773,Ricker,3699.22,3456.11,3988.2,1.001,410.75514454902725,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3699.22,9621.66
5,Beverton-Holt,alpha,5.1,Ricker,1.67,1.5,1.83,1.001,-67.25490196078432,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3699.22,9621.66
5,Beverton-Holt,sigma,0.1,Ricker,0.19,0.15,0.24,1.002,90,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3699.22,9621.66
5,Ricker,K,10000,Ricker,9945.91,9843.78,10046.1,1,-0.5409000000000015,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.59,9945.91
5,Ricker,Smsy,1928.814402774944,Ricker,1926.59,1921.49,1931.82,1,-0.1153248737537375,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.59,9945.91
5,Ricker,alpha,5.1,Ricker,5.08,5.02,5.14,1.001,-0.3921568627450897,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.59,9945.91
5,Ricker,sigma,0.1,Ricker,0.12,0.09,0.16,1.001,19.99999999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.59,9945.91
6,Beverton-Holt,K,10000,Beverton-Holt,10040.2,9682.7,10447.11,1.001,0.4020000000000073,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.69,0.11,341.21,10040.2
6,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,341.21,72.56,1364.4,1.002,-52.88878118317548,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.69,0.11,341.21,10040.2
6,Beverton-Holt,alpha,5.1,Beverton-Holt,6.69,3.73,9.84,1.002,31.17647058823531,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.69,0.11,341.21,10040.2
6,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.14,1.001,9.999999999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.69,0.11,341.21,10040.2
