simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
15,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4863.23,3786.93,6894.44,1.002,98.92597786595064,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4863.23,11769.31
15,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.24,0.82,1.67,1.003,-43.04677621731841,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4863.23,11769.31
15,Beverton-Holt,sigma,0.71073752986775,Ricker,0.91,0.73,1.17,1.001,28.036013543470503,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4863.23,11769.31
16,Beverton-Holt,K,9706,Beverton-Holt,9073.65,7126.21,11640.8,1,-6.515042241912223,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,317.94,9073.65
16,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,317.94,64.5,1971.49,1,-86.99495491623873,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,317.94,9073.65
16,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.64,2.77,9.81,1.001,204.975327352424,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,317.94,9073.65
16,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.6,0.96,1,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,317.94,9073.65
16,Beverton-Holt,K,9706,Ricker,11787.96,8883.15,16566.24,1.002,21.450236966824637,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4865.55,11787.96
16,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4865.55,3740.52,6978.57,1.003,99.02087534533146,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4865.55,11787.96
16,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.24,0.82,1.67,1.001,-43.04677621731841,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4865.55,11787.96
16,Beverton-Holt,sigma,0.71073752986775,Ricker,0.91,0.74,1.17,1.002,28.036013543470503,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4865.55,11787.96
17,Beverton-Holt,K,9706,Beverton-Holt,9042.81,7085.01,11676.12,1,-6.832783845044308,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.68,0.75,311.38,9042.81
17,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,311.38,64.32,1858.85,1,-87.26328572000507,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.68,0.75,311.38,9042.81
17,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.68,2.86,9.83,1.001,206.81252811960726,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.68,0.75,311.38,9042.81
17,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.6,0.97,1,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.68,0.75,311.38,9042.81
17,Beverton-Holt,K,9706,Ricker,11794.22,8873.74,16393.33,1,21.514733154749635,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4866.56,11794.22
17,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4866.56,3769.21,6933.99,1.001,99.06218847213086,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4866.56,11794.22
