simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
6,Beverton-Holt,Smsy,2649.3795259123253,Ricker,15181.3,512.03,90660.4,1.002,473.0134113107956,20.525732214445863,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.12,2.12,15181.3,30891.7
6,Beverton-Holt,alpha,1.4581599758167985,Ricker,0.12,0,0.61,1.002,-91.77045029419484,20.525732214445863,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.12,2.12,15181.3,30891.7
6,Beverton-Holt,b_cov,-3.2682845978352004,Ricker,-1.52,-2.61,-0.32,1.006,-53.49242226314085,20.525732214445863,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.12,2.12,15181.3,30891.7
6,Beverton-Holt,sigma,1.7556353030984457,Ricker,2.12,1.61,2.92,1.002,20.754008321574684,20.525732214445863,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.12,2.12,15181.3,30891.7
7,Beverton-Holt,K,8043,Beverton-Holt,7045.73,5375.26,10403.93,1.001,-12.399229143354475,235.33552497519304,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.53,0.07,3055.62,7045.73
7,Beverton-Holt,Smsy,3506.7551081898982,Beverton-Holt,3055.62,2310.4,4559.4,1.001,-12.864745163877819,235.33552497519304,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.53,0.07,3055.62,7045.73
7,Beverton-Holt,alpha,0.5148168283446065,Beverton-Holt,0.53,0.48,0.58,1.002,2.949237635493579,235.33552497519304,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.53,0.07,3055.62,7045.73
7,Beverton-Holt,b_cov,0.01689123884829742,Beverton-Holt,0.01,-0.02,0.03,1.001,-40.797711228812766,235.33552497519304,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.53,0.07,3055.62,7045.73
7,Beverton-Holt,sigma,0.0586351929105855,Beverton-Holt,0.07,0.06,0.09,1.001,19.382228530816008,235.33552497519304,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.53,0.07,3055.62,7045.73
7,Beverton-Holt,K,8043,Ricker,6143.14,4773.38,9089.89,1.002,-23.621285589953995,235.33552497519304,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,2862.83,6143.14
7,Beverton-Holt,Smsy,3506.7551081898982,Ricker,2862.83,2212.71,4252.64,1.002,-18.362420195411843,235.33552497519304,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,2862.83,6143.14
7,Beverton-Holt,alpha,0.5148168283446065,Ricker,0.52,0.48,0.57,1.001,1.0067991895408688,235.33552497519304,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,2862.83,6143.14
7,Beverton-Holt,b_cov,0.01689123884829742,Ricker,0.01,-0.02,0.03,1.001,-40.797711228812766,235.33552497519304,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,2862.83,6143.14
7,Beverton-Holt,sigma,0.0586351929105855,Ricker,0.07,0.06,0.09,1.001,19.382228530816008,235.33552497519304,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,2862.83,6143.14
8,Beverton-Holt,K,9869,Beverton-Holt,7809.73,1965.54,13879.79,1.001,-20.866045192015406,22.264044611904293,0.6946997916238086,0.8364698128785848,-1.652486788803681,4086.014813461695,9869,0.82,0.91,2954,7809.73
8,Beverton-Holt,Smsy,4086.014813461695,Beverton-Holt,2954,964.45,5418.31,1.001,-27.704618439761497,22.264044611904293,0.6946997916238086,0.8364698128785848,-1.652486788803681,4086.014813461695,9869,0.82,0.91,2954,7809.73
8,Beverton-Holt,alpha,0.6946997916238086,Beverton-Holt,0.82,0.1,1.92,1.001,18.036597950218404,22.264044611904293,0.6946997916238086,0.8364698128785848,-1.652486788803681,4086.014813461695,9869,0.82,0.91,2954,7809.73
