simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
65,Ricker,Smsy,4599.002939927983,Beverton-Holt,6121.79,3047.26,22092.13,1.016,33.111243457823555,0.37218579031517285,0.7441024802693529,4599.002939927983,9661,0.66,0.6,6121.79,14761.33
65,Ricker,alpha,0.37218579031517285,Beverton-Holt,0.66,0.31,1.41,1.028,77.33078939985901,0.37218579031517285,0.7441024802693529,4599.002939927983,9661,0.66,0.6,6121.79,14761.33
65,Ricker,sigma,0.7441024802693529,Beverton-Holt,0.6,0.5,0.76,1.003,-19.365945429612083,0.37218579031517285,0.7441024802693529,4599.002939927983,9661,0.66,0.6,6121.79,14761.33
65,Ricker,K,9661,Ricker,14637.35,9580.55,36715.04,1.006,51.50967808715455,0.37218579031517285,0.7441024802693529,4599.002939927983,9661,0.59,0.6,6720.19,14637.35
65,Ricker,Smsy,4599.002939927983,Ricker,6720.19,4410.63,17362.41,1.006,46.12275938456419,0.37218579031517285,0.7441024802693529,4599.002939927983,9661,0.59,0.6,6720.19,14637.35
65,Ricker,alpha,0.37218579031517285,Ricker,0.59,0.32,0.89,1.011,58.52297840290426,0.37218579031517285,0.7441024802693529,4599.002939927983,9661,0.59,0.6,6720.19,14637.35
65,Ricker,sigma,0.7441024802693529,Ricker,0.6,0.5,0.75,1.005,-19.365945429612083,0.37218579031517285,0.7441024802693529,4599.002939927983,9661,0.59,0.6,6720.19,14637.35
66,Ricker,K,8697,Beverton-Holt,9431.41,7894.61,11235.91,1.001,8.444406117051855,2.3687392170841273,0.12532708267520531,2912.0001238340246,8697,6.87,0.53,291.01,9431.41
66,Ricker,Smsy,2912.0001238340246,Beverton-Holt,291.01,68.11,1405.74,1.001,-90.00652515025143,2.3687392170841273,0.12532708267520531,2912.0001238340246,8697,6.87,0.53,291.01,9431.41
66,Ricker,alpha,2.3687392170841273,Beverton-Holt,6.87,3.52,9.84,1.001,190.02770547518688,2.3687392170841273,0.12532708267520531,2912.0001238340246,8697,6.87,0.53,291.01,9431.41
66,Ricker,sigma,0.12532708267520531,Beverton-Holt,0.53,0.42,0.67,1,322.8934310818799,2.3687392170841273,0.12532708267520531,2912.0001238340246,8697,6.87,0.53,291.01,9431.41
66,Ricker,K,8697,Ricker,8725.63,8560.34,8899.69,1,0.32919397493387603,2.3687392170841273,0.12532708267520531,2912.0001238340246,8697,2.37,0.12,2920.16,8725.63
