clones,parameter,fitting_model,estimate_median,estimate_lower,estimate_upper,estimate_variance,Rhat,error,true_value,generating_model,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
8,sigma,Beverton-Holt,1.2,1.11,1.29,0.0021,1.001,9.090909090909078,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.97,1.2,4552.3,12003
8,K,Beverton-Holt,5510.24,4526.11,6957.48,383342.8713,1.001,-44.8976,10000,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.53,1.16,1741.01,5510.24
8,Smsy,Beverton-Holt,1741.01,74.45,2652.04,415939.5423,1.003,-59.10577130615706,4257.348911099839,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.53,1.16,1741.01,5510.24
8,alpha,Beverton-Holt,1.53,0.68,8.45,3.338,1.002,39.09090909090908,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.53,1.16,1741.01,5510.24
8,sigma,Beverton-Holt,1.16,1.07,1.28,0.0029,1.001,5.454545454545439,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.53,1.16,1741.01,5510.24
8,K,Ricker,19077.95,13298.86,35213.39,53108908.0476,1.003,90.77950000000001,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,8956.97,19077.95
8,Smsy,Ricker,8956.97,6280.81,16751.4,12277451.0264,1.003,144.81665283447717,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,8956.97,19077.95
8,alpha,Ricker,0.46,0.27,0.64,0.0091,1.002,-58.18181818181819,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,8956.97,19077.95
8,sigma,Ricker,1.22,1.13,1.31,0.0022,1.001,10.9090909090909,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,8956.97,19077.95
8,K,Ricker,6833.99,4546.38,9075.95,1286175.8062,1,-31.6601,10000,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3191.58,6833.99
