simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
3,Beverton-Holt,b_cov,-0.1743312318341315,Ricker,-0.07,-0.41,0.27,1.001,-59.846552299589135,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.34,1.15,5876.8,12359.9
3,Beverton-Holt,sigma,1.1291761617370997,Ricker,1.15,0.94,1.44,1.001,1.8441620509297068,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.34,1.15,5876.8,12359.9
4,Ricker,K,8149,Beverton-Holt,7670.76,3193.37,19048.52,1,-5.868695545465699,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.25,2.86,519.93,7670.76
4,Ricker,Smsy,3507.0593042934433,Beverton-Holt,519.93,47.8,3997.44,1.001,-85.1747588253359,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.25,2.86,519.93,7670.76
4,Ricker,alpha,1.0350420754968355,Beverton-Holt,5.25,0.76,9.75,1.001,407.2257567384324,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.25,2.86,519.93,7670.76
4,Ricker,b_cov,0.1808314737006846,Beverton-Holt,0.17,-0.63,0.99,1.001,-5.98981663922787,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.25,2.86,519.93,7670.76
4,Ricker,sigma,1.6452532895259242,Beverton-Holt,2.86,2.36,3.58,1,73.83341630175995,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.25,2.86,519.93,7670.76
4,Ricker,K,8149,Ricker,12670.6,8819.31,16337.7,1,55.48656276843785,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.65,1.62,4871.73,12670.6
4,Ricker,Smsy,3507.0593042934433,Ricker,4871.73,3746.75,5783.37,1,38.912107760364556,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.65,1.62,4871.73,12670.6
4,Ricker,alpha,1.0350420754968355,Ricker,1.65,1.07,2.23,1,59.41380926065016,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.65,1.62,4871.73,12670.6
4,Ricker,b_cov,0.1808314737006846,Ricker,0.38,-0.1,0.86,1.001,110.14040986525534,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.65,1.62,4871.73,12670.6
4,Ricker,sigma,1.6452532895259242,Ricker,1.62,1.33,2.02,1,-1.53491803886323,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.65,1.62,4871.73,12670.6
5,Ricker,K,8843,Beverton-Holt,4114.15,2411.07,7434.11,1.002,-53.475630442157644,205.35839486907562,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,4.64,1.32,359.86,4114.15
5,Ricker,Smsy,3895.2003477766384,Beverton-Holt,359.86,29.82,1925.72,1.001,-90.76145081457989,205.35839486907562,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,4.64,1.32,359.86,4114.15
