simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
28,Ricker,alpha,3.5594160990751282,Beverton-Holt,5.82,1.63,9.74,1,63.509964499858775,3.5594160990751282,0.7877129284041265,2313.656679535771,8874,5.82,2.51,306.84,5931.27
28,Ricker,sigma,0.7877129284041265,Beverton-Holt,2.51,1.99,3.31,1.001,218.64400208400224,3.5594160990751282,0.7877129284041265,2313.656679535771,8874,5.82,2.51,306.84,5931.27
28,Ricker,K,8874,Ricker,8399.42,7658,9136.91,NA,-5.347982871309442,3.5594160990751282,0.7877129284041265,2313.656679535771,8874,2.98,0.78,2470.71,8399.42
28,Ricker,Smsy,2313.656679535771,Ricker,2470.71,2315.64,2642.73,1,6.788099628322605,3.5594160990751282,0.7877129284041265,2313.656679535771,8874,2.98,0.78,2470.71,8399.42
28,Ricker,alpha,3.5594160990751282,Ricker,2.98,2.61,3.36,1.001,-16.278403056773346,3.5594160990751282,0.7877129284041265,2313.656679535771,8874,2.98,0.78,2470.71,8399.42
28,Ricker,sigma,0.7877129284041265,Ricker,0.78,0.62,1.03,1,-0.9791547308678288,3.5594160990751282,0.7877129284041265,2313.656679535771,8874,2.98,0.78,2470.71,8399.42
29,Beverton-Holt,K,9279,Beverton-Holt,9748.8,6994.06,13731.48,1.001,5.063045586808916,4.657703623198441,1.0561796334179214,823.6178490683199,9279,6.28,0.99,402.98,9748.8
29,Beverton-Holt,Smsy,823.6178490683199,Beverton-Holt,402.98,68.18,2644.07,1.002,-51.07196857670669,4.657703623198441,1.0561796334179214,823.6178490683199,9279,6.28,0.99,402.98,9748.8
29,Beverton-Holt,alpha,4.657703623198441,Beverton-Holt,6.28,2.19,9.81,1.002,34.83039085444277,4.657703623198441,1.0561796334179214,823.6178490683199,9279,6.28,0.99,402.98,9748.8
29,Beverton-Holt,sigma,1.0561796334179214,Beverton-Holt,0.99,0.79,1.3,1.003,-6.265944856724453,4.657703623198441,1.0561796334179214,823.6178490683199,9279,6.28,0.99,402.98,9748.8
29,Beverton-Holt,K,9279,Ricker,12597.09,8775.83,17770.73,NA,35.759133527319754,4.657703623198441,1.0561796334179214,823.6178490683199,9279,1.26,1.1,5167.96,12597.09
29,Beverton-Holt,Smsy,823.6178490683199,Ricker,5167.96,3847.55,7283.22,1.001,527.4706170884979,4.657703623198441,1.0561796334179214,823.6178490683199,9279,1.26,1.1,5167.96,12597.09
29,Beverton-Holt,alpha,4.657703623198441,Ricker,1.26,0.71,1.79,1.002,-72.94804259926786,4.657703623198441,1.0561796334179214,823.6178490683199,9279,1.26,1.1,5167.96,12597.09
